title,year,total_gross_box_office,avg_box_office,top_movie,runtime,original,sole_writer,release_month,mpaa,composer,imax,budget,star_power,ni_c,ni_p,my_letterboxd,avg_letterboxd,global_box_office_usd,oscar_noms,oscar_wins
following,1998,"6,696,278,852","20,048,739",Titanic,69,1,1,4,1,2,0,"6,000",2,,,-,3.5,"240,495",0,0
memento,2000,"7,476,224,972","17,030,125",How the Grinch Stole Christmas,113,0,1,5,1,2,0,"9,000,000",4,4,2,4.5,4.2,"40,100,000",2,0
insomnia,2002,"9,164,913,438","16,078,795",Spider-Man,118,0,0,5,1,2,0,"46,000,000",7,,,-,3.5,"113,700,000",0,0
batman_begins,2005,"8,833,618,311","13,067,482",Star Wars: Episode III - Revenge of the Sith,140,0,0,6,0,0,0,"150,000,000",7,1,1,2.5,3.8,"373,700,000",1,0
the_prestige,2006,"9,203,041,941","12,336,517",Pirates of the Caribbean: Dead Man’s Chest,130,1,0,10,0,2,0,"40,000,000",7,2,2,-,4.3,"109,700,000",2,0
the_dark_knight,2008,"9,652,648,585","13,313,998",The Dark Knight,152,0,0,7,0,0,1,"185,000,000",8,1,2,4.0,4.5,"1,006,000,000",8,2
inception,2010,"10,585,388,159","16,260,196",Avatar,148,1,1,7,0,0,1,"160,000,000",8,4,2,4.5,4.2,"839,000,000",8,4
the_dark_knight_rises,2012,"10,843,641,372","13,436,978",The Avengers,165,0,0,7,0,0,1,"250,000,000",8,1,2,3.5,3.8,"1,085,000,000",0,0
interstellar,2014,"10,368,861,849","12,213,029",Guardians of the Galaxy,169,1,0,11,0,0,1,"165,000,000",7,1,2,2.5,4.4,"701,700,000",5,1
dunkirk,2017,"11,075,387,520","12,968,837",Star Wars: Episode VIII - The Last Jedi,106,1,1,7,0,0,1,"100,000,000",6,3,1,4.5,3.8,"527,000,000",8,3
tenet,2020,"2,113,386,800","4,644,806",Bad Boys for Life,150,1,1,9,0,1,1,"200,000,000",7,5,5,3.5,3.4,"365,200,000",2,1
oppenheimer,2023,"8,907,111,984","15,045,797",Barbie,180,0,1,7,1,1,1,"100,000,000",10,2,2,4.5,4.2,"953,800,000",13,7
the_odyssey,2026,?,?,,?,0,1,7,?,1,1,"250,000,000",10,-,-,TBP,TBP,TBP,TBP,TBP
